"Language","original","english","german","french","spanish","portuguese","italian","polish","russian","czech","hungarian","japanese","chinesesimp","chinese",
"last_win","last win","last win","letzter Gewinn","dernière victoire","última ganancia","última vitória","ultima vittoria","ostatnia wygrana","последняя победа","poslední vítězství","utolsó győzelem","最後の勝利","最后的胜利","最後的勝利",
"lucky_wheel_head_line","Lucky Wheel","Lucky Wheel","Glücksrad","roue de la fortune","rueda de la fortuna","roda da fortuna","ruota della fortuna","koło fortuny","колесо фортуны","Kolo štěstí","Wheel of Fortune","運命の輪","命运之轮","命運之輪",
"lose_game","Lost, try it again!","Lost, try it again!","Verloren, probier es gleich noch einmal!","Perdu, réessayez maintenant !","Perdido, inténtalo de nuevo.","Perdido, tente novamente agora!","Perduto, riprovaci ora!","Zagubiony, spróbuj jeszcze raz!","Потеряно, попробуйте еще раз!","Ztracené, zkuste to znovu!","Elveszett, próbáld újra!","失った、もう一度試してください！","迷路了，再试一次！","迷路了，再試一次！",
"next_card","next card","next card","nächste Karte","fiche suivante","siguiente tarjeta","próxima carta","prossima scheda","następna karta","следующая карта","další karta","következő kártya","次のカード","下一张卡","下一張卡",
"new_game","new game","new game","neues Spiel","nouvelle partie","nuevo juego","novo jogo","nuovo gioco","nowa gra","новая игра","nová hra","új játék","新しいゲーム","新游戏","新遊戲",
"Not_enough_chips_available","Not enough chips available","Not enough chips available","Nicht genug Chips vorhanden","Pas assez de jetons disponibles","No hay suficientes chips disponibles","Não há fichas suficientes disponíveis","Non ci sono abbastanza chip disponibili","Niewystarczająca ilość dostępnych żetonów","Недостаточно чипсов в наличии","Není k dispozici dostatek čipů","Nincs elég zseton","十分なチップが利用できません","没有足够的芯片","沒有足夠的芯片",
"roll_dice","roll the dice","roll the dice","würfeln","dés à lancer","tirar los dados","lançar dados","lanciare dadi","rzucać kostkami","метать кости","kostky","dobókocka","サイコロ","骰子","骰子",
"select_number","chose your number","chose your number","Wähle eine Zahl","Choisissez un numéro","Elija un número","Escolha um número","Scegliere un numero","Wybierz liczbę","Выберите номер","Vyberte číslo","Válasszon egy számot","番号を選択してください","选择一个号码","選擇一個號碼",
"roll_wheel","roll","roll","drehen","kyrielle","serie","trenó","sfilza","zabity","поворот","otočení","fordulat","ターン","转","轉",
"jackpot","Jackpot","Jackpot","Jackpot","Jackpot","Premio Mayor","Jackpot","Jackpot","Jackpot","Джекпот","jackpot","főnyeremény","ジャックポット","头奖","頭獎",
"start_race", "start race", "start race", "Starte Rennen"
"new_race", "new race", "new race", "Neues Rennen"
"rate_race_desc", "desc race","desc race","Beschreibung"
